Drug,Hour,Organ,Conc_umol_L,Kp
Lecanemab,3.136,gut,10.16764746,0.8162
Lecanemab,3.377,blood,15.47286289,1.0
Lecanemab,3.377,lung,10.4519246,0.8443
Lecanemab,3.377,liver,9.77108513,0.789
Lecanemab,3.377,kidney,10.8118504,0.8734
Lecanemab,3.377,muscle,11.34697349,0.9034
Lecanemab,3.377,fat,8.37540516,0.6662
Lecanemab,3.377,brain,9.44772788,0.7628
Lecanemab,3.377,gut,10.10530546,0.8162
Lecanemab,3.618,blood,15.37802041,1.0
Lecanemab,3.618,lung,10.38784856,0.8443
Lecanemab,3.618,liver,9.71118952,0.789
Lecanemab,3.618,kidney,10.74557072,0.8734
Lecanemab,3.618,muscle,11.27696014,0.9034
Lecanemab,3.618,fat,8.32507005,0.6662
Lecanemab,3.618,brain,9.38981414,0.7628
Lecanemab,3.618,gut,10.04336104,0.8162
Lecanemab,3.859,blood,15.28376763,1.0
Lecanemab,3.859,lung,10.3241972,0.8443
Lecanemab,3.859,liver,9.65167179,0.789
Lecanemab,3.859,kidney,10.67972247,0.8734
Lecanemab,3.859,muscle,11.20753832,0.9034
Lecanemab,3.859,fat,8.27472101,0.6662
Lecanemab,3.859,brain,9.3322656,0.7628
Lecanemab,3.859,gut,9.98180868,0.8162
Lecanemab,4.101,blood,15.19010618,1.0
Lecanemab,4.101,lung,10.26093196,0.8443
Lecanemab,4.101,liver,9.59252502,0.789
Lecanemab,4.101,kidney,10.61427764,0.8734
Lecanemab,4.101,muscle,11.13865083,0.9034
Lecanemab,4.101,fat,8.22446426,0.6662
Lecanemab,4.101,brain,9.27507599,0.7628
Lecanemab,4.101,gut,9.92063915,0.8162
Lecanemab,4.342,blood,15.09702432,1.0
Lecanemab,4.342,lung,10.19806288,0.8443
Lecanemab,4.342,liver,9.5337453,0.789
Lecanemab,4.342,kidney,10.54924124,0.8734
Lecanemab,4.342,muscle,11.07025851,0.9034
Lecanemab,4.342,fat,8.17437044,0.6662
Lecanemab,4.342,brain,9.21824129,0.7628
Lecanemab,4.342,gut,9.85984942,0.8162
Lecanemab,4.583,blood,15.00451771,1.0
